No,BookCode,BookName,BookAuthor,Publication,Domain
94,BES-JAVA-0093,JAVA 9.0 To 13.0,Mandar Jog,BPB publications,Computer Programming
95,BES-JAVA-0094,Programming with Java,E Balagurusamy,Tata McGraw Hill,Computer Programming
96,BES-JAVA-0095,JAVA Programming From The Ground Up,Ralph Bravaco Shai Simonson,McGrawHill Education,Computer Programming
97,BES-JAVA-0096,Object Oriented Programming with Java,Rajkumar Buyya & S Thamarai Selvi,Tata McGraw Hill,Computer Programming
98,BES-JAVA-0098,User Interaction Design,Vaishali Shelar,TechKnowledge Publication,Computer Programming
99,BES-JAVA-0099,C++ For Java Programmers,Timothy Budd,Pearson,Computer Programming
100,BES-JAVA-97,Study Notes Java 2,Boston Computer Institute,Boston Computer Institute,Computer Programming
101,BES-TCS-001,Theory of Computer Science,E V Krishnamurthy,Affiliated East-West Press Pvt Ltd,Computer Programming
102,BES-TCS-003,Theoretical Computer Science,Dilip Kumar Sultania,TechMax Publications,Computer Programming
103,BES-TCS-004,Theory Of Computer Science,A.A. Puntambekar,Technical Publications Pune,Computer Programming
104,BES-TCS-005,Theory Of Automata And Formal Languages,Udit Agarwal,Dhanpat Rai And Co.,Computer Programming
105,HCI-IP-006,Digital Principles and Applications,Albert Paul Malvino & Donald P. Leach,Tata McGraw Hill,Human Computer Interaction 
106,HCI-IP-00801,Software Engineering A Practitioner's Guide,S Jayaraman and S Eskkirajan,McGraw-Hill Publication,Human Computer Interaction 
107,HCI-IP-008,Digital Image Processing,"S. Jayaraman, S Esakkirajan, T Veerakumar",McGraw Hill Education,Human Computer Interaction 
108,HCI-IP-009,Image Processing,Dhananjay K. Theckedath,TechMax Publication,Human Computer Interaction 
109,HCI-CGUR-0011,Computer Graphics,Samit Bhattacharya,Oxford Publication,Human Computer Interaction 
110,HCI-CGUR-00401,Computer Graphics and Virtual Reality Systems,Rajesh K. Maurya,Wiley Publication,Human Computer Interaction 
111,HCI-CGUR-00402,Computer Graphics with Virtual Reality Systems,Rajesh K. Maurya,Wiley-India Publication,Human Computer Interaction 
112,HCI-CGUR-00403,Computer Graphics w,Rajesh K. Maurya,Wiley Publication,Human Computer Interaction 
113,HCI-IGVR-004,Computet Graphics with Virtual Reality Systems,Rajesh K. Maurya,Wiley,Human Computer Interaction 
114,HCI-GAP-004,Professional Game Programming,Mike McShaffy,dreamtech Press,Human Computer Interaction 
115,HCI-GAP-00502,Game Architecture and Programming,Jay L. Borade,Tech-Max Publicatio,Human Computer Interaction 
116,HCI-GAP-007,Smart System Design and and Applications,Raghib Nasri and Prof. Purva Raut,Tech-Max Publication,Human Computer Interaction 
117,HCI-HMI-001,Human Machine Interaction,Dr. Dhananjay R. Kalbande,Wiley Publications,Human Computer Interaction 
118,HCL-UID-00602,Management Information System,Vaishali Shelar & Christopher Sequeria,TechKnowledge Publication,Human Computer Interaction 
119,HCL-IP-010,Object Orientatio,Dhananjay K Theckedath,TechMax Publications,Human Computer Interaction 
120,HD-COA-001,Computer Architecture,Nicholas Carter,McGrawHill Companies,Computer Organization and Architecture
121,HD-COA-002,Fundamentals of Computer,V. Rajaraman,Prentice Hall of India Private Limited,Computer Organization and Architecture
122,HD-COA-003,Computer Fundamentals Architecture and Organization,B Ram,New Age Publication,Computer Organization and Architecture
123,HD-COA-004,Computer Organization,V.C. Hamacher,International Student Edition,Computer Organization and Architecture
124,HD-COA-006,Structured Computer Organization,Andrew S. Tanenbaum,Pearson Education,Computer Organization and Architecture
125,HD-COA-010,Computer Organization And Design,David A. Peterson,Morgan Kauffman,Computer Organization and Architecture
126,HD-COA-011,Computer Organization And Architecture,Sayli Patki-Haldavanekar,Nandu Publications,Computer Organization and Architecture
127,HD-COA-01202,Database Management System,Dilip Kumar Sultania,Techmax Publication,Computer Organization and Architecture
128,HD-COA-013,Computer Architecture and Organizations,B Govindarajalu,McGraw Hill Publication,Computer Organization and Architecture
129,HD-COA-015,Computer Organization & Architecture,A. P. Godse & D. A. Godse,Technical Publication,Computer Organization and Architecture
